id,name,activation,limit,keyword,effect
1,Adaptability,Static,,,"When using Moves with a Damage Dice Roll that are the same elemental Type as the Pokemon with Adaptability, add 2 STAB instead of 1."
2,Aerilate,Static,,,"The Pokemonâ€™s Normal Type Moves are treated as Flying Type Moves. Add 2 STAB when dealing damage with Aerilate."
3,Aftermath,Trigger,,,"When the Pokemon is reduced to 0 HP or less, they create a 5-meter Burst. Everything in the Burst loses Â¼ of their full HP. Do not apply weakness or resistance. Do not apply stats."
4,"Air Lock","",,Sustain,"The weather is set to normal as long as the Pokemon with Air Lock wants it to remain that way."
5,Analytic,Cast,Hourly,,"For the next 5 rounds, if the userâ€™s turn comes immediately after any of its targetâ€™s, in the queue, the user deals +1 STAB on Moves with Damage Dice Rolls, ignoring the Type of Move used."
6,"Anger Point",Trigger,,,"When the Pokemon receives a Critical Hit, raise their Attack 6 Combat Stages."
7,Anticipation,"",,,"During an encounter you may target a Pokemon. Roll 1d20; on roll, the target reveals if they have any Moves that are Super-Effective against the Pokemon with Anticipation; on 11 or better, the target reveals up to 3 moves that are Super-Effective against the Pokemon with Anticipation; on 16 or better, the target reveals up to 5 moves that are Super-Effective against the Pokemon with Anticipation and all of those Moves must roll +1 during Accuracy Check to hit the Pokemon with Anticipation."
8,"Arena Trap","",,,"A large wall of sand, 10-meters high surrounds the encounter. The diameter of the Arena Trap must be at least 10-meters but cannot be greater then 40-meters. There must be sufficient ground around to manipulate or the Ability cannot be used. The walls are constantly shifting making it impossible to climb. If a section of the wall is destroyed, it immediately restores itself. If the caster is felled or returned to a Poke Ball, the Arena Trap falls."
9,"Aroma Veil",Static,,Immune,"The Moves Taunt, Torment, Encore, Disable, Heal Block, and Attract. Aroma Veil also protects the Pokemonâ€™s adjacent allies."
10,"Aura Break",Trigger,,,"If the Abilities Dark Aura or Fairy Aura are activated, Dark Type Moves and Fairy Type Moves deal 2 less STAB instead of adding the bonus STAB as long as those Abilities are active."
11,"Bad Dreams",Static,,,"Anything sleeping within 30-meters of the Pokemon with Bad Dreams lose 1/8th of their full HP at the beginning of each round."
12,"Battle Armor",Static,,Immune,"Critical Hits"
13,"Big Pecks",Static,,Immune,"The user cannot have its Defense Stat lowered. The user cannot have its Defense Combat Stages lowered."
14,Blaze,Trigger,,"Last Chance",Fire
15,Bulletproof,Static,,Immune,"The Moves Acid Spray, Aura Sphere, Barrage, Bullet Seed, Egg Bomb, Electro Ball, Energy Ball, Focus Blast, Gyro Ball, Ice Ball, Magnet Bomb, Mist Ball, Mud Bomb, Octazooka, Rock Wrecker, Seed Bomb, Shadow Ball, Sludge Bomb, Weather Ball, and Zap Cannon."
16,"Cheek Pouch",Trigger,Hourly,,"When the Pokemon eats a Berry, they recover 15 HP in addition to anything else that the Berry would do."
17,Chlorophyll,Trigger,Hourly,,"While in Sunny Weather, the Speed stat of the Pokemon is doubled."
