id,name,type,rate,accuracy,range,stat,damage,effect1,effect2,contest
1,"Attack Order",Bug,Battle,2,"Ranged (10)",ATK,3d12+14,"1 Target","Attack Order is a Critical Hit on 18-20 during Accuracy Check.","Smart - 2d4 - Incentives"
2,"Bug Bite",Bug,EOT,2,Melee,ATK,2d10+8,"1 Target","If the target has a consumable Held Item, Bug Bite destroys the Item and Bug Biteâ€™s user may use the Itemâ€™s effect.","Tough - None - Attention Grabber"
3,"Bug Buzz",Bug,Battle,2,"Ranged (3)",SATK,3d12+14,"No Target, Burst, Sound","Bug Buzz creates a 3-meter Burst. Bug Buzz lowers the targetâ€™s Special Defense 1 Combat Stage on 19-20 during Accuracy Check.","Cute - 2d4 - Incentives"
4,"Defend Order",Bug,EOT,0,Self,,,"No Target","Raise the userâ€™s Defense 1 Combat Stage and raise the userâ€™s Special Defense 1 Combat Stage.","Smart - None - Get Ready!"
5,"Fell Stinger",Bug,At-Will,2,Melee,ATK,1d10+4,"1 Target","If the user lowers a target to 0 HP or less while using Fell Stinger, raise the userâ€™s Attack 2 Combat Stages.","Smart - None - Get Ready!"
6,"Fury Cutter",Bug,At-Will,3,Melee,ATK,1d4,"1 Target","If Fury Cutter is used successfully and consecutively on the same target, use 1d12+6 on the second hit instead, 2d12+12 on the third hit instead, 3d12+18 on the fourth hit instead and 4d12+24 on the fifth hit and any successful hits following the fifth hit instead.","Cool - 2d4 - Reliable"
7,"Heal Order",Bug,Center,0,Self,,,"No Target","The user regains HP equal to half of its full HP.","Smart - None - Reflective Appeal"
8,Infestation,Bug,Battle,2,"Ranged (3)",,,"1 Target","The target gains the Coat, Infested. Infested Pokemon lose 1/8th of their full HP at the beginning of each of their turns for 5 rounds. Do not apply weakness, resistance or stats to the lost HP. Infested Pokemon are Trapped and cannot move more than 3 meters from the user.","Smart - None - Torrential Appeal"
9,"Leech Life",Bug,EOT,2,Melee,ATK,1d6+1,"1 Target","After the target takes damage, the user gains HP equal to half of the damage they dealt to the target.","Smart - 1d4 - Good Show!"
10,Megahorn,Bug,Battle,5,Melee,ATK,5d12+18,"1 Target, Push","The target is Pushed 3-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6.","Cool - 2d4 - Round Ender"
